Name,Level,IconSWF,IconExportName,TID,InfoTID,Deprecated,AllowedCharacters,Rarity,Claimable,DiamondValue,RequiredBlacksmithLevel,RequiredCharacterLevel,UpgradeResources,UpgradeCosts,MainAbilities,MainAbilityLevels,ExtraAbilities,ExtraAbilityLevels,Speed,HitPoints,AttackRange,AttackSpeedPercentage,DPS,PreviewScenario,HealOnActivation,StrengthWeight
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,1715,,,112,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,1828,,,124,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,1940,,,135,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,2053,,,148,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,2165,,,159,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,2278,,,171,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,2390,,,176,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,2503,,,182,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,2615,,,188,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,2728,,,194,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,2840,,,199,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,2953,,,205,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,3065,,,211,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,3178,,,217,,,4200
,27,,,,,,,,,,9,,,,,10,,,,3290,,,222,,,4700
Frozen Arrow,1,sc/ui.sc,icon_gear_AQ_FreezeArrow,TID_GEAR_FROZEN_ARROW,TID_GEAR_INFO_FROZEN_ARROW,,Archer Queen;,Epic,TRUE,,1,1,CommonOre,120,ArcherQueenAttackFreeze,1,,,,,,,35,GearFrozenArrow,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,2,,,,,,,40,,,200
,3,,,,,,,,,,1,,CommonOre,400,,3,,,,,,,45,,,300
,4,,,,,,,,,,1,,CommonOre,600,,4,,,,,,,50,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,5,,,,,,,55,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,6,,,,,,,60,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,7,,,,,,,66,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,8,,,,,,,72,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,9,,,,,,,78,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,10,,,,,,,85,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,11,,,,,,,92,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,12,,,,,,,99,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,13,,,,,,,105,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,14,,,,,,,111,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,15,,,,,,,117,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,16,,,,,,,122,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,17,,,,,,,127,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,18,,,,,,,132,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,19,,,,,,,136,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,20,,,,,,,140,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,21,,,,,,,144,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,22,,,,,,,148,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,23,,,,,,,152,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,24,,,,,,,156,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,25,,,,,,,160,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,26,,,,,,,164,,,4200
,27,,,,,,,,,,9,,,,,27,,,,,,,168,,,4700
UNUSED1,1,sc/ui.sc,icon_gear_AQ_SuperArcherDoll,TID_GEAR_TITLE_SUPER_ARCHER_PUPPET,TID_GEAR_INFO_SUPER_ARCHER_PUPPET,TRUE,Archer Queen;,Epic,TRUE,,1,1,CommonOre,120,AQSpawnSuperArchers,1,,,,150,,,24,,200,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,160,,,28,,215,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,170,,,32,,230,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,180,,,36,,245,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,190,,,40,,260,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,200,,,44,,275,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,210,,,48,,290,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,220,,,52,,305,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,230,,,56,,320,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,240,,,60,,335,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,250,,,64,,350,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,260,,,68,,365,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,270,,,72,,380,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,280,,,76,,395,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,290,,,80,,410,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,300,,,84,,425,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,310,,,88,,440,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,320,,,92,,455,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,330,,,96,,470,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,340,,,100,,485,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,350,,,104,,500,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,360,,,108,,515,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,370,,,112,,530,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,380,,,116,,545,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,390,,,120,,560,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,400,,,124,,575,4200
,27,,,,,,,,,,9,,,,,10,,,,410,,,128,,590,4700
Piercing Arrow,1,sc/ui.sc,icon_gear_AQ_MagicArrow,TID_GEAR_PIERCING_ARROW,TID_GEAR_INFO_PIERCING_ARROW,,Archer Queen;,Common,,,2,1,CommonOre,120,ArcherQueenPierceProjectile,1,,,,80,,,20,GearPiercingArrow,,100
,2,,,,,,,,,,2,,CommonOre; RareOre,240;20,,1,,,,93,,,23,,,200
,3,,,,,,,,,,2,,CommonOre,400,,2,,,,106,,,27,,,300
,4,,,,,,,,,,2,,CommonOre,600,,2,,,,119,,,30,,,400
,5,,,,,,,,,,2,,CommonOre; RareOre,840;100,,2,,,,133,,,33,,,500
,6,,,,,,,,,,2,,CommonOre,1120,,3,,,,146,,,37,,,600
,7,,,,,,,,,,2,,CommonOre,1440,,3,,,,159,,,40,,,700
,8,,,,,,,,,,2,,CommonOre; RareOre,1800;200,,3,,,,172,,,43,,,800
,9,,,,,,,,,,2,,CommonOre,1900,,4,,,,199,,,50,,,900
,10,,,,,,,,,,3,,CommonOre,2000,,4,,,,241,,,59,,,1000
,11,,,,,,,,,,3,,CommonOre; RareOre,2100;400,,4,,,,284,,,68,,,1100
,12,,,,,,,,,,3,,CommonOre,2200,,5,,,,326,,,77,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,369,,,86,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,411,,,96,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,454,,,105,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,496,,,114,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,539,,,123,,,2100
,18,,,,,,,,,,7,,,,,7,,,,581,,,132,,,2600
UNUSED2,1,sc/ui.sc,icon_spell_freeze,TID_GEAR_PIERCING_ARROW,TID_GEAR_INFO_PIERCING_ARROW,TRUE,Archer Queen;,Epic,TRUE,,1,1,CommonOre,120,ArcherQueenSpawnArchers,1,,,,150,,,24,,200,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,160,,,28,,215,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,170,,,32,,230,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,180,,,36,,245,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,190,,,40,,260,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,200,,,44,,275,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,210,,,48,,290,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,220,,,52,,305,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,230,,,56,,320,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,240,,,60,,335,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,250,,,64,,350,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,260,,,68,,365,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,270,,,72,,380,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,280,,,76,,395,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,290,,,80,,410,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,300,,,84,,425,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,310,,,88,,440,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,320,,,92,,455,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,330,,,96,,470,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,340,,,100,,485,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,350,,,104,,500,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,360,,,108,,515,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,370,,,112,,530,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,380,,,116,,545,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,390,,,120,,560,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,400,,,124,,575,4200
,27,,,,,,,,,,9,,,,,10,,,,410,,,128,,590,4700
Heroic Torch,1,sc/ui.sc,icon_gear_BK_Torch,TID_GEAR_TITLE_HEROIC_TORCH,TID_GEAR_INFO_HEROIC_TORCH,TRUE,Grand Warden;,Epic,,,1,1,CommonOre,120,GWHeroicTorch,1,,,,150,,,24,GearHeroicTorch,200,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,160,,,28,,215,200
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,170,,,32,,230,300
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,180,,,36,,245,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,190,,,40,,260,500
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,200,,,44,,275,600
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,210,,,48,,290,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,220,,,52,,305,800
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,230,,,56,,320,900
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,240,,,60,,335,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,250,,,64,,350,1100
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,260,,,68,,365,1200
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,270,,,72,,380,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,280,,,76,,395,1400
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,290,,,80,,410,1900
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,300,,,84,,425,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,310,,,88,,440,2100
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,320,,,92,,455,2600
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,330,,,96,,470,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,340,,,100,,485,2800
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,350,,,104,,500,3300
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,360,,,108,,515,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,370,,,112,,530,3500
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,380,,,116,,545,4000
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,390,,,120,,560,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,400,,,124,,575,4200
,27,,,,,,,,,,9,,,,,10,,,,410,,,128,,590,4700
Healer Jar,1,sc/ui.sc,icon_gear_AQ_HealerDoll,TID_GEAR_HEALER_JAR,TID_GEAR_INFO_HEALER_JAR,,Archer Queen;,Common,,,5,1,CommonOre,120,ArcherQueenSpawnHealers,1,Regeneration,1,,132,,,,GearHealerJar,,100
,2,,,,,,,,,,5,,CommonOre; RareOre,240;20,,1,,2,,154,,,,,,200
,3,,,,,,,,,,5,,CommonOre,400,,2,,3,,177,,,,,,300
,4,,,,,,,,,,5,,CommonOre,600,,2,,4,,199,,,,,,400
,5,,,,,,,,,,5,,CommonOre; RareOre,840;100,,2,,5,,221,,,,,,500
,6,,,,,,,,,,5,,CommonOre,1120,,3,,6,,243,,,,,,600
,7,,,,,,,,,,5,,CommonOre,1440,,3,,7,,265,,,,,,700
,8,,,,,,,,,,5,,CommonOre; RareOre,1800;200,,3,,8,,287,,,,,,800
,9,,,,,,,,,,5,,CommonOre,1900,,4,,9,,331,,,,,,900
,10,,,,,,,,,,5,,CommonOre,2000,,4,,10,,402,,,,,,1000
,11,,,,,,,,,,5,,CommonOre; RareOre,2100;400,,4,,11,,473,,,,,,1100
,12,,,,,,,,,,5,,CommonOre,2200,,5,,12,,543,,,,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,13,,614,,,,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,14,,685,,,,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,15,,756,,,,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,16,,826,,,,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,17,,897,,,,,,2100
,18,,,,,,,,,,7,,,,,7,,18,,968,,,,,,2600
UNUSED3,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Archer Queen;,Common,,,1,1,,,,,,,,,,,,,,
Fire in a Can,1,sc/ui.sc,icon_gear_GW_FireSack,TID_GEAR_FIRE_IN_A_CAN,TID_GEAR_INFO_FIRE_IN_A_CAN,,Grand Warden;,Epic,TRUE,,1,1,CommonOre,120,GrandWardenFireball,1,,,,,,,21,GearFireInCan,,100
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,2,,,,,,,24,,,200
,3,,,,,,,,,,1,,CommonOre,400,,3,,,,,,,27,,,300
,4,,,,,,,,,,1,,CommonOre,600,,4,,,,,,,30,,,400
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,5,,,,,,,33,,,500
,6,,,,,,,,,,1,,CommonOre,1120,,6,,,,,,,36,,,600
,7,,,,,,,,,,1,,CommonOre,1440,,7,,,,,,,40,,,700
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,8,,,,,,,44,,,800
,9,,,,,,,,,,1,,CommonOre,1900,,9,,,,,,,47,,,900
,10,,,,,,,,,,1,,CommonOre,2000,,10,,,,,,,51,,,1000
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,11,,,,,,,56,,,1100
,12,,,,,,,,,,1,,CommonOre,2200,,12,,,,,,,60,,,1200
,13,,,,,,,,,,3,,CommonOre,2300,,13,,,,,,,63,,,1300
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,14,,,,,,,67,,,1400
,15,,,,,,,,,,3,,CommonOre,2500,,15,,,,,,,71,,,1900
,16,,,,,,,,,,5,,CommonOre,2600,,16,,,,,,,74,,,2000
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,17,,,,,,,77,,,2100
,18,,,,,,,,,,5,,CommonOre,2800,,18,,,,,,,80,,,2600
,19,,,,,,,,,,7,,CommonOre,2900,,19,,,,,,,82,,,2700
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,20,,,,,,,84,,,2800
,21,,,,,,,,,,7,,CommonOre,3100,,21,,,,,,,87,,,3300
,22,,,,,,,,,,8,,CommonOre,3200,,22,,,,,,,89,,,3400
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,23,,,,,,,92,,,3500
,24,,,,,,,,,,8,,CommonOre,3400,,24,,,,,,,94,,,4000
,25,,,,,,,,,,9,,CommonOre,3500,,25,,,,,,,96,,,4100
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,26,,,,,,,99,,,4200
,27,,,,,,,,,,9,,,,,27,,,,,,,101,,,4700
UNUSED4,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Grand Warden;,Common,,,1,1,,,,,,,,,,,,,,
Angry Tome,1,sc/ui.sc,icon_gear_GW_RageGem,TID_GEAR_ANGRY_TOME,TID_GEAR_INFO_ANGRY_TOME,,Grand Warden;,Common,,,4,1,CommonOre,120,GrandWardenRageAura,1,,,,,,5,12,GearAngryTome,,100
,2,,,,,,,,,,4,,CommonOre; RareOre,240;20,,1,,,,,,6,14,,,200
,3,,,,,,,,,,4,,CommonOre,400,,2,,,,,,7,16,,,300
,4,,,,,,,,,,4,,CommonOre,600,,2,,,,,,8,18,,,400
,5,,,,,,,,,,4,,CommonOre; RareOre,840;100,,2,,,,,,9,20,,,500
,6,,,,,,,,,,4,,CommonOre,1120,,3,,,,,,10,22,,,600
,7,,,,,,,,,,4,,CommonOre,1440,,3,,,,,,11,24,,,700
,8,,,,,,,,,,4,,CommonOre; RareOre,1800;200,,3,,,,,,12,26,,,800
,9,,,,,,,,,,4,,CommonOre,1900,,4,,,,,,13,30,,,900
,10,,,,,,,,,,4,,CommonOre,2000,,4,,,,,,14,36,,,1000
,11,,,,,,,,,,4,,CommonOre; RareOre,2100;400,,4,,,,,,15,43,,,1100
,12,,,,,,,,,,4,,CommonOre,2200,,5,,,,,,16,49,,,1200
,13,,,,,,,,,,5,,CommonOre,2300,,5,,,,,,17,56,,,1300
,14,,,,,,,,,,5,,CommonOre; RareOre,2400;600,,5,,,,,,18,62,,,1400
,15,,,,,,,,,,5,,CommonOre,2500,,6,,,,,,19,69,,,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,,,20,75,,,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,,,21,82,,,2100
,18,,,,,,,,,,7,,,,,7,,,,,,22,88,,,2600
UNUSED5,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Grand Warden;,Common,,,1,1,,,,,,,,,,,,,,
UNUSED6,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Grand Warden;,Common,,,1,1,,,,,,,,,,,,,,
UNUSED7,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Grand Warden;,Common,,,1,1,,,,,,,,,,,,,,
UNUSED8,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Warrior Princess;,Common,,,1,1,,,,,,,,,,,,,,
UNUSED9,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Warrior Princess;,Common,,,1,1,,,,,,,,,,,,,,
UNUSED10,1,sc/ui.sc,icon_unit_a,TID_GEAR_HOG_TOTEM,TID_GEAR_INFO_HOG_TOTEM,TRUE,Warrior Princess;,Common,,,7,1,CommonOre,120,RCEquipSpawnHogs,1,,,,,,5,,,150,
UNUSED11,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Warrior Princess;,Common,,,1,1,,,,,,,,,,,,,,
Snake Armor,1,sc/ui.sc,icon_gear_BK_SnakeBracelet,TID_GEAR_TITLE_SNAKE_ARMOR,TID_GEAR_INFO_SNAKE_ARMOR,,Barbarian King;,Epic,TRUE,,1,1,CommonOre,120,BarbarianKingSpawnOnTakeDamage,1,,,,150,,1,10,GearSnakeArmor,,
,2,,,,,,,,,,1,,CommonOre; RareOre,240;20,,1,,,,300,,1,11,,,
,3,,,,,,,,,,1,,CommonOre,400,,2,,,,450,,2,12,,,
,4,,,,,,,,,,1,,CommonOre,600,,2,,,,600,,2,14,,,
,5,,,,,,,,,,1,,CommonOre; RareOre,840;100,,2,,,,750,,2,16,,,
,6,,,,,,,,,,1,,CommonOre,1120,,3,,,,900,,3,18,,,
,7,,,,,,,,,,1,,CommonOre,1440,,3,,,,1050,,3,20,,,
,8,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,1800;200;10,,3,,,,1200,,3,22,,,
,9,,,,,,,,,,1,,CommonOre,1900,,4,,,,1350,,4,24,,,
,10,,,,,,,,,,1,,CommonOre,2000,,4,,,,1500,,4,26,,,
,11,,,,,,,,,,1,,CommonOre; RareOre; EpicOre,2100;400;20,,4,,,,1650,,4,28,,,
,12,,,,,,,,,,1,,CommonOre,2200,,5,,,,1800,,5,30,,,
,13,,,,,,,,,,3,,CommonOre,2300,,5,,,,1950,,5,33,,,
,14,,,,,,,,,,3,,CommonOre; RareOre; EpicOre,2400;600;30,,5,,,,2100,,5,36,,,
,15,,,,,,,,,,3,,CommonOre,2500,,6,,,,2250,,6,39,,,
,16,,,,,,,,,,5,,CommonOre,2600,,6,,,,2400,,6,42,,,
,17,,,,,,,,,,5,,CommonOre; RareOre; EpicOre,2700;600;50,,6,,,,2550,,6,45,,,
,18,,,,,,,,,,5,,CommonOre,2800,,7,,,,2700,,7,48,,,
,19,,,,,,,,,,7,,CommonOre,2900,,7,,,,2850,,7,51,,,
,20,,,,,,,,,,7,,CommonOre; RareOre; EpicOre,3000;600;100,,7,,,,3000,,7,54,,,
,21,,,,,,,,,,7,,CommonOre,3100,,8,,,,3150,,8,57,,,
,22,,,,,,,,,,8,,CommonOre,3200,,8,,,,3300,,8,60,,,
,23,,,,,,,,,,8,,CommonOre; RareOre; EpicOre,3300;600;120,,8,,,,3450,,8,63,,,
,24,,,,,,,,,,8,,CommonOre,3400,,9,,,,3600,,9,66,,,
,25,,,,,,,,,,9,,CommonOre,3500,,9,,,,3750,,9,69,,,
,26,,,,,,,,,,9,,CommonOre; RareOre; EpicOre,3600;600;150,,9,,,,3900,,9,72,,,
,27,,,,,,,,,,9,,,,,10,,,,4050,,10,75,,,
UNUSED13,1,sc/ui.sc,icon_unit_a,TID_GEAR_TITLE_BARBARIAN_CROWN,TID_GEAR_INFO_BARBARIAN_CROWN,TRUE,Warrior Princess;,Common,,,6,1,,,RoyalChampionElectrifiedShield,1,,,,,,,,,,
Healing Tome,1,sc/ui.sc,icon_gear_GW_HeartTome,TID_GEAR_HEALING_TOME,TID_GEAR_INFO_HEALING_TOME,,Grand Warden;,Common,,,6,1,CommonOre,120,GrandWardenHealAura,1,,,,92,,,,GearHealingTome,165,100
,2,,,,,,,,,,6,,CommonOre; RareOre,240;20,,1,,,,107,,,,,193,200
,3,,,,,,,,,,6,,CommonOre,400,,2,,,,122,,,,,220,300
,4,,,,,,,,,,6,,CommonOre,600,,2,,,,137,,,,,248,400
,5,,,,,,,,,,6,,CommonOre; RareOre,840;100,,2,,,,153,,,,,275,500
,6,,,,,,,,,,6,,CommonOre,1120,,3,,,,168,,,,,303,600
,7,,,,,,,,,,6,,CommonOre,1440,,3,,,,183,,,,,330,700
,8,,,,,,,,,,6,,CommonOre; RareOre,1800;200,,3,,,,198,,,,,358,800
,9,,,,,,,,,,6,,CommonOre,1900,,4,,,,229,,,,,413,900
,10,,,,,,,,,,6,,CommonOre,2000,,4,,,,280,,,,,463,1000
,11,,,,,,,,,,6,,CommonOre; RareOre,2100;400,,4,,,,330,,,,,513,1100
,12,,,,,,,,,,6,,CommonOre,2200,,5,,,,381,,,,,563,1200
,13,,,,,,,,,,6,,CommonOre,2300,,5,,,,432,,,,,613,1300
,14,,,,,,,,,,6,,CommonOre; RareOre,2400;600,,5,,,,482,,,,,663,1400
,15,,,,,,,,,,6,,CommonOre,2500,,6,,,,533,,,,,713,1900
,16,,,,,,,,,,7,,CommonOre,2600,,6,,,,584,,,,,763,2000
,17,,,,,,,,,,7,,CommonOre; RareOre,2700;600,,6,,,,634,,,,,813,2100
,18,,,,,,,,,,7,,,,,7,,,,685,,,,,863,2600
UNUSED14,1,sc/ui.sc,icon_gear_GW_HeartTome,TID_GEAR_PROTECTIVE_CLOAK,TID_GEAR_INFO_PROTECTIVE_CLOAK,TRUE,Warrior Princess;,Common,,,6,1,,,RCProtectiveCloak,1,,,,123,,,,,363,100
,2,,,,,,,,,,6,,,,,1,,,,143,,,,,423,200
,3,,,,,,,,,,6,,,,,2,,,,164,,,,,484,300
,4,,,,,,,,,,6,,,,,2,,,,184,,,,,544,400
,5,,,,,,,,,,6,,,,,2,,,,205,,,,,605,500
,6,,,,,,,,,,6,,,,,3,,,,225,,,,,665,600
,7,,,,,,,,,,6,,,,,3,,,,246,,,,,726,700
,8,,,,,,,,,,6,,,,,3,,,,266,,,,,786,800
,9,,,,,,,,,,6,,,,,4,,,,307,,,,,907,900
,10,,,,,,,,,,6,,,,,4,,,,375,,,,,1108,1000
,11,,,,,,,,,,6,,,,,4,,,,443,,,,,1310,1100
,12,,,,,,,,,,6,,,,,5,,,,511,,,,,1511,1200
,13,,,,,,,,,,6,,,,,5,,,,579,,,,,1713,1300
,14,,,,,,,,,,6,,,,,5,,,,648,,,,,1914,1400
